EU,EC,dx (mm),dy (mm),Group number,Needle (blunt/bevel),Mass fraction (5%/10%),Gelatin (105/210),Water (ml),
1,11,5.0,0.0,11,Blunt,5%,105,2100,
2,11,3.0,2.0,11,Blunt,5%,105,2100,
3,11,0.0,0.5,11,Blunt,5%,105,2100,
4,11,2.0,1.5,11,Blunt,5%,105,2100,
5,11,3.0,-0.5,11,Blunt,5%,105,2100,
6,11,-2.0,5.0,11,Blunt,5%,105,2100,
7,11,-2.0,-1.5,11,Blunt,5%,105,2100,
8,11,3.5,0.0,11,Blunt,5%,105,2100,
9,11,2.5,0.5,11,Blunt,5%,105,2100,
10,11,1.5,-3.5,11,Blunt,5%,105,2100,
11,11,5.5,4.0,11,Blunt,5%,105,2100,
12,11,6.0,5.0,11,Blunt,5%,105,2100,
13,11,5.0,2.0,11,Blunt,5%,105,2100,
14,11,-4.0,-6.0,11,Blunt,5%,105,2100,
15,11,0.0,3.5,11,Blunt,5%,105,2100,
16,11,1.5,5.0,11,Blunt,5%,105,2100,
17,11,2.5,6.0,11,Blunt,5%,105,2100,
18,11,0.5,0.5,11,Blunt,5%,105,2100,
19,11,-1.0,0.0,11,Blunt,5%,105,2100,
20,11,1.5,7.0,11,Blunt,5%,105,2100,
21,11,2.5,1.5,11,Blunt,5%,105,2100,
22,11,1.0,3.0,11,Blunt,5%,105,2100,
23,11,0.0,1.5,11,Blunt,5%,105,2100,
24,11,1.0,3.0,11,Blunt,5%,105,2100,
25,11,5.0,7.0,11,Blunt,5%,105,2100,
26,11,0.5,7.0,11,Blunt,5%,105,2100,
27,11,2.5,2.0,11,Blunt,5%,105,2100,
28,11,-4.5,5.0,11,Blunt,5%,105,2100,
29,11,3.5,5.0,11,Blunt,5%,105,2100,
30,11,1.0,1.5,11,Blunt,5%,105,2100,
31,11,2.0,2.0,11,Blunt,5%,105,2100,
32,11,-1.5,-2.0,11,Blunt,5%,105,2100,
33,11,1.5,-3.0,11,Blunt,5%,105,2100,
34,11,-2.0,-3.0,11,Blunt,5%,105,2100,
35,11,-2.0,4.5,11,Blunt,5%,105,2100,
36,21,8.0,11.5,11,Bevel,5%,105,2100,
37,21,11.5,1.5,11,Bevel,5%,105,2100,
38,21,9.0,8.0,11,Bevel,5%,105,2100,
39,21,7.5,1.5,11,Bevel,5%,105,2100,
40,21,10,2.5,11,Bevel,5%,105,2100,
41,21,9,-2.5,11,Bevel,5%,105,2100,
42,21,7,4,11,Bevel,5%,105,2100,
43,21,5.0,1.5,11,Bevel,5%,105,2100,
44,21,4.5,0.0,11,Bevel,5%,105,2100,
45,21,3.5,-4.0,11,Bevel,5%,105,2100,
46,21,6.0,3.0,11,Bevel,5%,105,2100,
47,21,7.0,2.0,11,Bevel,5%,105,2100,
48,21,3.5,7.0,11,Bevel,5%,105,2100,
49,21,5.5,4.0,11,Bevel,5%,105,2100,
50,21,6.5,0.0,11,Bevel,5%,105,2100,
